year,crop,plant_week,cum_pct,source
2018,B,16,0,Observed
2018,B,17,3,Observed
2018,B,18,23,Observed
2018,B,19,53,Observed
2018,B,20,73,Observed
2018,B,21,87,Observed
2018,B,22,94,Observed
2018,B,23,96,Observed
2018,B,24,98,Observed
2022,B,15,0,Observed
2022,B,16,0,Observed
2022,B,17,3,Observed
2022,B,18,7,Observed
2022,B,19,28,Observed
2022,B,20,50,Observed
2022,B,21,70,Observed
2022,B,22,84,Observed
2022,B,23,92,Observed
2022,B,24,96,Observed
2022,B,25,100,Observed
2022,B,26,100,Observed
