year,mu,s,week,fitted_cdf,year_group
2011,21.758945599078544,0.5427990900587114,13,9.816407471778175e-8,Other
2005,16.541631311628272,1.2109928083645276,14,0.1092135412618204,Other
2010,16.6390782236277,1.0721649415065384,14,0.07860540129989246,Other
2012,16.78877955420752,0.9900779361651335,14,0.05642692884831663,Other
2017,18.525382173135974,1.528833163592439,14,0.049264902890877,Other
2004,18.24932551046021,1.1659938474108666,14,0.02547181904300954,Other
1990,17.851895029727196,1.0565709543451416,14,0.02544016364178937,Other
1994,17.471323506363426,0.9127694501581843,14,0.02181572261068323,Other
2008,19.51236278632033,1.351842174817684,14,0.01666453672054545,Other
2016,19.383594976591883,1.2951375381933548,14,0.015416585389241465,Other
1983,19.955213158039424,1.3627927890379434,14,0.012494918456665338,Other
1997,17.467770373014034,0.7893501202363457,14,0.012210218290839847,Other
1995,19.483719479113137,1.237528484154592,14,0.011760408714591617,Other
1981,21.647102462008604,1.624256797100034,14,0.008941568564325007,Other
2021,19.016865825313612,1.0627491634643094,14,0.008830717715308207,Other
1989,22.04114077726732,1.6542699420372284,14,0.007684471236498574,Other
2006,17.23807444335008,0.6440647953481751,14,0.006512098929143491,Other
2020,19.99935456745787,1.1554081864958052,14,0.0055278599197353985,Other
1988,17.326824069178695,0.636183026192589,14,0.0053284586143707464,Other
2018,19.11968047659817,0.9543178740683612,14,0.004656824326823235,2018
1985,17.461869371428108,0.6416841736675388,14,0.004518826372537624,Other
2014,19.913683005379703,1.0955557141637242,14,0.004505753022703256,Other
2022,20.012923021399583,1.0097496888443964,14,0.002586486782730916,Other
1982,17.164317134528158,0.5182813754478109,14,0.0022258148569723494,Other
2002,21.14873274918691,1.1294270492763459,14,0.0017797137144404142,Other
1999,17.550566308908664,0.5529471323010038,14,0.0016241134005190493,Other
1986,18.447153325224846,0.6898973000028762,14,0.0015841700833342256,Other
1984,20.32815839383654,0.9724513135827503,14,0.0014900870652603828,Other
2019,22.95846774999589,1.3544246560089428,14,0.0013393591527800452,2019
2015,19.051423306698773,0.7531476674842027,14,0.0012207331374259893,Other
1987,18.331379908949984,0.6163061628700899,14,8.859463111434036e-4,Other
1980,18.62132385647612,0.6433192980254367,14,7.583842681541288e-4,Other
2007,18.12642902028725,0.5690248741527212,14,7.084268465914562e-4,Other
2009,20.140740323295397,0.8033354421916045,14,4.7865340991785e-4,Other
