year,crop,obs_percent
2010,B,52.340753381962564
2010,C,31.43770054076489
2010,I,0.5770505151455001
2010,O,0.17114004461607324
2010,P,3.1076947676925704
2010,R,0.15193855113063906
2010,W,12.213722198687762
2011,B,51.038191285114976
2011,C,30.770643958028383
2011,O,0.8563480387602582
2011,P,2.6990761032448343
2011,R,0.31426844323047465
2011,W,14.321472171621071
2012,B,54.18954498288812
2012,C,38.02177003185745
2012,O,0.23440021049156004
2012,P,2.277183369781216
2012,R,0.4556241894788647
2012,W,4.821477215502788
2013,B,49.860051835711765
2013,C,36.358607803250464
2013,O,0.21791693551947167
2013,P,2.229004612866648
2013,R,0.38007194236188013
2013,W,10.954346870289768
2014,B,55.24063254375855
2014,C,34.332354452937246
2014,I,0.05393590330210245
2014,O,0.08108511226231167
2014,P,2.202825345655354
2014,R,0.5252968353455422
2014,W,7.563869806738892
2015,B,53.66948818638738
2015,C,34.31349711468861
2015,I,0.60269717183949
2015,O,0.09893657690427479
2015,P,2.5359002966760493
2015,R,0.2204971415057343
2015,W,8.558983511998461
2016,B,56.22096420961971
2016,C,30.991983303112423
2016,I,0.004261232480743177
2016,O,0.08893352997449003
2016,P,2.788192915964852
2016,R,1.3270616292176918
2016,W,8.578603179630093
2017,B,59.65736730906603
2017,C,31.38396196258357
2017,O,0.016014500621740528
2017,P,2.655589026450206
2017,R,0.539703718086475
2017,W,5.747363483191978
2018,B,57.91705866565458
2018,C,31.092937602345717
2018,I,0.28560272706271006
2018,O,0.0036634101926954483
2018,P,2.937814911651125
2018,R,0.52323022456649
2018,W,7.239692458526679
2019,B,37.933702339442064
2019,C,9.962283678072978
2019,I,41.65657729395168
2019,O,0.08569831956805549
2019,P,2.487997863345009
2019,R,0.1359699533169803
2019,W,7.737770552303237
2020,B,54.68816228130194
2020,C,33.186730717711875
2020,I,0.10939589722387899
2020,O,0.10978731554548153
2020,P,3.152251429554284
2020,R,0.22721282491490968
2020,W,8.526459533747628
2021,B,56.10442404184374
2021,C,30.464817533237664
2021,I,0.01317624299955169
2021,O,0.09554241441773553
2021,P,3.597389218582258
2021,R,0.06750167904632519
2021,W,9.657148869872726
2022,B,60.716039083242464
2022,C,29.47449014155708
2022,I,0.14702890765299373
2022,O,0.15314802768323468
2022,P,3.4944718153526564
2022,R,0.24170648216400278
2022,W,5.773115542347572
