year,crop,plant_week,cum_pct,source
2018,C,14,0,Observed
2018,C,15,0,Observed
2018,C,16,1,Observed
2018,C,17,8,Observed
2018,C,18,42,Observed
2018,C,19,73,Observed
2018,C,20,88,Observed
2018,C,21,95,Observed
2018,C,22,98,Observed
2022,C,13,0,Observed
2022,C,14,0,Observed
2022,C,15,0,Observed
2022,C,16,1,Observed
2022,C,17,6,Observed
2022,C,18,11,Observed
2022,C,19,40,Observed
2022,C,20,64,Observed
2022,C,21,81,Observed
2022,C,22,92,Observed
2022,C,23,97,Observed
2022,C,24,100,Observed
